Date,Forecast
2025-11-15,281.03238
2025-11-16,281.9061
2025-11-17,282.8277
2025-11-18,283.7922
2025-11-19,284.79147
2025-11-20,285.8159
2025-11-21,286.85638
2025-11-22,287.90472
2025-11-23,288.95288
2025-11-24,289.9952
2025-11-25,291.0268
2025-11-26,292.04358
2025-11-27,293.04245
2025-11-28,294.02097
2025-11-29,294.97644
2025-11-30,295.90732
2025-12-01,296.81256
2025-12-02,297.6913
2025-12-03,298.54303
2025-12-04,299.36734
2025-12-05,300.16348
2025-12-06,300.93127
2025-12-07,301.67142
2025-12-08,302.38403
2025-12-09,303.06897
2025-12-10,303.7268
2025-12-11,304.35797
2025-12-12,304.96277
2025-12-13,305.5417
2025-12-14,306.09534
2025-12-15,306.62433
2025-12-16,307.12943
2025-12-17,307.61124
2025-12-18,308.07043
2025-12-19,308.5079
2025-12-20,308.92456
2025-12-21,309.32068
2025-12-22,309.69714
2025-12-23,310.05466
2025-12-24,310.39413
2025-12-25,310.71603
2025-12-26,311.02103
2025-12-27,311.31012
2025-12-28,311.58423
2025-12-29,311.84378
2025-12-30,312.0894
2025-12-31,312.3216
2026-01-01,312.54135
2026-01-02,312.74915
2026-01-03,312.94556
2026-01-04,313.13123
2026-01-05,313.30667
2026-01-06,313.47238
2026-01-07,313.62885
2026-01-08,313.7766
2026-01-09,313.91605
2026-01-10,314.04764
2026-01-11,314.17163
2026-01-12,314.2887
2026-01-13,314.3991
